 Joint 1 torque , Joint 2 torque ,  Joint 3 torque ,  Joint 4 torque  , Position error 1 , Position error 2 , Position error 3 , Position error 4  Velocity error 1 , Velocity error 2 , Velocity error 3 , Velocity error 4 acceleration 1 , acceleration 2 , acceleration 3 , acceleration 4   Time 
-0.232313,-0.101407,-28235.7,-0.00320769,-0.314566,-1.03303,-65.9631,-81.1668,0.789019,-0.862971,157.836,97.9557,-19.0091,-126.949,-647.648,-730.233-55.049,-113.633,-2638.52,-1623.34,0.088
-0.209792,-0.0922546,-28078.1,-0.0032237,-0.318729,-1.0378,-65.3238,-80.7775,0.865055,-0.355177,160.427,100.877,-17.726,-116.822,-589.308,-696.321-55.7776,-114.158,-2612.95,-1615.55,0.092
-0.188709,-0.0836712,-27927.5,-0.00322542,-0.322599,-1.04063,-64.6746,-80.3767,0.935959,0.112112,162.784,103.662,-16.5273,-107.331,-533.524,-663.394-56.4548,-114.469,-2586.98,-1607.53,0.096
-0.168982,-0.0756231,-27783.5,-0.00321426,-0.326194,-1.04166,-64.0165,-79.9651,1.00207,0.541437,164.918,106.315,-15.4074,-98.4391,-480.203,-631.427-57.084,-114.582,-2560.66,-1599.3,0.1
-0.15053,-0.0680786,-27646,-0.0031915,-0.329535,-1.04104,-63.3502,-79.5431,1.0637,0.935193,166.839,108.841,-14.3614,-90.112,-429.255,-600.397-57.6686,-114.515,-2534.01,-1590.86,0.104
-0.133282,-0.0610082,-27514.6,-0.00315826,-0.332637,-1.03892,-62.6766,-79.1113,1.12114,1.29564,168.556,111.243,-13.3844,-82.3177,-380.595,-570.28-58.2114,-114.281,-2507.06,-1582.23,0.108
-0.117167,-0.0543844,-27389.2,-0.00311558,-0.335517,-1.03542,-61.9966,-78.6701,1.17468,1.62491,170.078,113.524,-12.4719,-75.0257,-334.137,-541.053-58.7154,-113.896,-2479.86,-1573.4,0.112
-0.102121,-0.0481813,-27269.5,-0.00306441,-0.33819,-1.03066,-61.3108,-78.22,1.22457,1.92501,171.415,115.688,-11.6198,-68.207,-289.801,-512.694-59.1832,-113.373,-2452.43,-1564.4,0.116
0.124052,0.0212883,-27166.1,-0.00750481,-0.253893,-0.997547,-60.6522,-77.6646,1.87227,2.38812,172.351,118.412,20.0009,-54.9087,-251.514,-477.505-44.4313,-109.73,-2426.09,-1553.29,0.12
0.115733,0.0204199,-27056.7,-0.00701122,-0.256441,-0.990656,-59.9571,-77.1982,1.79226,2.60776,173.358,120.322,17.4384,-49.5435,-210.985,-451.092-44.8771,-108.972,-2398.28,-1543.96,0.124
